nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Garaje,Terraza,Jardín,Orientación,Planta,Exterior,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Calefacción,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Soleado,Se aceptan mascotas,Amueblado,Aire acondicionado,Balcón,Chimenea,Urbanizado,Calle alumbrada,Armarios empotrados,Agua,Puerta blindada,Ascensor,Gastos de comunidad,Piscina,Sistema de seguridad,Adaptado a personas con movilidad reducida
Casa adosada en Gironella,HABITATPORT,2.018 €/m²,325.000 €,161 m²,https://www.pisos.com/comprar/casa_adosada-gironella_centro_urbano-48337956068_528277/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),161 m²,159 m²,275 m²,4,2,Adosada,Menos de 5 años,A estrenar,528277-B10,1,N/A,Privado,Noreste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Puig-Reig,MST IMMOBILIÀRIA,1.421 €/m²,118.000 €,83 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-15079853756_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),83 m²,80 m²,,4,1,,Entre 20 y 30 años,En buen estado,4997923-1050,1,,,,1ª,N/A,N/A,Parquet,N/A,Aluminio,N/A,N/A,Gas natural,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
Piso en Carrer de la Mare de Déu de Montserrat,FINQUES LLUÇANES,1.377 €/m²,124.000 €,90 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50902256188_513880/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),90 m²,90 m²,,3,1,,Entre 30 y 50 años,En buen estado,513880-001070,1,N/A,,Sur,3ª,,,Parquet,,PVC,,,Gas natural,,,,,,N/A,,N/A,Frío y calor,N/A,,,,,,,,,,,
Dúplex en Carrer de Pío Baroja,MST IMMOBILIÀRIA,1.274 €/m²,260.000 €,204 m²,https://www.pisos.com/comprar/duplex-berga_centro_urbano-45839208913_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),204 m²,200 m²,,7,3,,Más de 50 años,En buen estado,4997923-1055,,N/A,,,2ª,N/A,,Gres,N/A,,N/A,N/A,Gas natural,N/A,N/A,N/A,,,,,,Frío y calor,,N/A,,,,,,,,,,
Ático en La Pobla de L´Illet,Alfa Marfin Gestion,316 €/m²,95.000 €,300 m²,https://www.pisos.com/comprar/atico-la_pobla_de_lillet_centro_urbano-92562624292_101000/,Anuncio actualizado el 17/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),300 m²,240 m²,,3,2,,,,AF70-253/297,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer Major,HABITATPORT,1.714 €/m²,240.000 €,140 m²,https://www.pisos.com/comprar/duplex-casserres_centro_urbano-44249361199_528277/,Anuncio actualizado el 27/01/2025,"C, B","C, B",bergueda (BCN),140 m²,130 m²,,3,2,,,Reformado,528277-B01,,N/A,Privado,Suroeste,1ª,,N/A,Parquet,N/A,PVC,,,N/A,N/A,N/A,,,,N/A,,,Frío y calor,,,,,,,,,,,,
Chalet en Carrer Arquitecte Antoni Gaudí,MST IMMOBILIÀRIA,1.556 €/m²,260.000 €,167 m²,https://www.pisos.com/comprar/chalet-puig_reig_centro_urbano-45899832984_997923/,Anuncio actualizado el 19/02/2025,"F, F","F, F",bergueda (BCN),167 m²,158 m²,1.167 m²,4,1,,Más de 50 años,En buen estado,4997923-1063,,N/A,Privado,,,,,Terrazo,N/A,Madera,,,Gas natural,N/A,N/A,N/A,,,,,,Frío y calor,,,N/A,N/A,,,,,,,,
Casa en Carrer Cal Biel,FORTALEZA GESTIÓN,1.407 €/m²,380.000 €,270 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-50898327593_529022/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),270 m²,178 m²,542 m²,6,3,,Entre 10 y 20 años,En buen estado,4529022-000012,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de les Abelles,MST IMMOBILIÀRIA,1.091 €/m²,89.500 €,82 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-45883456564_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),82 m²,74 m²,,3,1,,Más de 50 años,Reformado,4997923-1053,,N/A,,,1ª,N/A,,Parquet,N/A,Aluminio,N/A,N/A,Gas natural,N/A,N/A,N/A,,N/A,N/A,,,Frío y calor,N/A,,,,,,,,,,,
Casa en Vallcebre,Durán Carasso,1.650 €/m²,990.000 €,600 m²,https://www.pisos.com/comprar/casa-vallcebre_centro_urbano-44230750428_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),600 m²,,31.600 m²,5,6,,,,BM201-5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Llobregat,MST IMMOBILIÀRIA,1.144 €/m²,79.000 €,69 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-48372649129_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),69 m²,62 m²,,1,1,,Más de 50 años,En buen estado,4997923-1078,,,,,2ª,N/A,,Parquet,N/A,Madera,N/A,,Gas natural,N/A,N/A,N/A,,,,,N/A,,,,,,1,,,,,,,
Casa rústica en L'Espunyola,Engel & Völkers MMC Barcelona,928 €/m²,650.000 €,700 m²,https://www.pisos.com/comprar/casa_rustica-espunyola_centro_urbano-47514973905_101800/,Anuncio actualizado el 28/09/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),700 m²,,3.600 m²,9,9,Rústica,Entre 30 y 50 años,,IF76306-I-00YNTO-W-02X44E,1,,Privado,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer de Cal Biel,CALDES HABITAT,1.340 €/m²,445.000 €,332 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-50886803123_100500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),332 m²,195 m²,600 m²,4,4,,Entre 20 y 30 años,,SA5534-11000627/11470,1,N/A,N/A,Sureste,,,,,,,,,Gas natural,,N/A,,N/A,,,,,N/A,,N/A,N/A,,1,N/A,N/A,,,,,
Casa en Carrer del Raval,TRC ACTIVOS,Error al procesar precio m²,A consultar,591 m²,https://www.pisos.com/comprar/casa-baga_centro_urbano-49227399157_527994/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),591 m²,204 m²,,,,,Más de 50 años,A reformar,4527994-000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Orient,MST IMMOBILIÀRIA,961 €/m²,75.000 €,78 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-51728727269_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),78 m²,75 m²,,3,1,,Más de 50 años,En buen estado,4997923-1118,,,,,2ª,N/A,,Gres,N/A,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Raval,TRC ACTIVOS,Error al procesar precio m²,A consultar,842 m²,https://www.pisos.com/comprar/casa-baga_centro_urbano-49183693952_527994/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),842 m²,279 m²,,,,,Más de 50 años,A reformar,4527994-000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Berga,HABITATPORT,272 €/m²,400.000 €,1.466 m²,https://www.pisos.com/comprar/chalet-berga_centro_urbano-50050247102_528277/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),1.466 m²,329 m²,,4,2,,Entre 20 y 30 años,En buen estado,528277-B22,Más de 2,N/A,Privado,Noroeste,,,,Gres,,Aluminio,,,Gasoil,,,,,,,,,,,N/A,,,Más de 2,,,,,,,
Piso en Avinguda de Francesc Macià,HABITATPORT,1.206 €/m²,280.000 €,232 m²,https://www.pisos.com/comprar/piso-avia_centro_urbano-50899718360_528277/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),232 m²,121 m²,,3,3,,Entre 10 y 20 años,En buen estado,528277-B25,2,,,Oeste,1ª,,,Gres,,Madera,,,Gasoil,,,,,,,,,Frío,N/A,N/A,,,Más de 2,,,,,,,
Dúplex en Casserres,HABITATPORT,1.500 €/m²,210.000 €,140 m²,https://www.pisos.com/comprar/duplex-casserres_centro_urbano-44226100343_528277/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),140 m²,135 m²,,1,2,,,Reformado,528277-B02,,,,Suroeste,Bajo,,N/A,Parquet,N/A,PVC,,,N/A,N/A,N/A,,,,,,,Frío y calor,,,,,,,N/A,,,,,
Piso en Puig-reig,Alfa Puig-Reig,849 €/m²,90.000 €,106 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50838063922_101000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),106 m²,105 m²,,4,1,,,,AF94-245/1572,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Gironella,HABITATPORT,1.942 €/m²,305.000 €,157 m²,https://www.pisos.com/comprar/casa_adosada-gironella_centro_urbano-48396484854_528277/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),157 m²,155 m²,163 m²,4,2,Adosada,Menos de 5 años,A estrenar,528277-B09,1,N/A,Privado,Noreste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Camí de Sant Marçal,MST IMMOBILIÀRIA,954 €/m²,105.000 €,110 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-48376593804_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),110 m²,105 m²,,4,2,,Entre 30 y 50 años,En buen estado,4997923-1081,,,,,2ª,N/A,,Gres,N/A,,,,Central,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,,,N/A,,,,
Piso en Berga,HABITATPORT,2.330 €/m²,240.000 €,103 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50090765190_528277/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),103 m²,77 m²,,2,1,,Entre 30 y 50 años,En buen estado,528277-B19,1,,,Sur,3ª,,,,,Madera,,,Gas natural,,,,,,N/A,,,,N/A,N/A,,,1,,,,,,,
Casa en Carrer de Barcelona,MST IMMOBILIÀRIA,944 €/m²,220.000 €,233 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-42576256046_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),233 m²,230 m²,125 m²,3,2,,Entre 30 y 50 años,En buen estado,4997923-1021,Más de 2,N/A,,Sur,,,,Gres,N/A,,N/A,,Gas natural,N/A,N/A,,,,,N/A,,Frío y calor,,,,,,,,,,,,
Piso en Carrer de la Mare de Déu de Montserrat,HABITATPORT,1.377 €/m²,124.000 €,90 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50900766042_528277/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),90 m²,87 m²,,3,1,,Entre 30 y 50 años,En buen estado,528277-B26,1,,,Sur,3ª,,,Parquet,,Aluminio,,,Gas natural,,,,N/A,,N/A,,N/A,Frío y calor,N/A,,,,1,,,,,,,
Piso en Berga,B.C. GESTIONS,903 €/m²,70.500 €,78 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-49265830179_106700/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),78 m²,68 m²,,3,1,,,,IFC76360-DIRE-001347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Berga,B.C. GESTIONS,662 €/m²,28.500 €,43 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-49168773508_106700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),43 m²,36 m²,,2,1,,Más de 50 años,,IFC76360-FRRE-00983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer del Cantonet, 7",INMOGLOBAL BCN,874 €/m²,139.000 €,159 m²,https://www.pisos.com/comprar/casa-casserres_centro_urbano-46764954078_106700/,Anuncio actualizado el 08/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),159 m²,159 m²,56 m²,3,3,,,,IFC75924-CAS_396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avià,HABITATPORT,1.614 €/m²,310.000 €,192 m²,https://www.pisos.com/comprar/casa_adosada-avia_centro_urbano-50069472952_528277/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),192 m²,190 m²,,3,2,Adosada,Entre 10 y 20 años,A estrenar,528277-B18,,,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Casa pareada en Gironella,Alfa Puig-Reig,534 €/m²,230.000 €,430 m²,https://www.pisos.com/comprar/casa_pareada-gironella_centro_urbano-45837720897_101000/,Anuncio actualizado el 03/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),430 m²,,,5,2,Pareada,,,AF94-245/1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Montclar,MST IMMOBILIÀRIA,897 €/m²,96.000 €,107 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50880723547_997923/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),107 m²,80 m²,,4,2,,Entre 30 y 50 años,En buen estado,4997923-1092,,,,,Bajo,N/A,,Gres,N/A,,,,Gas natural,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
Piso en Carrer Vell,MST IMMOBILIÀRIA,1.122 €/m²,55.000 €,49 m²,https://www.pisos.com/comprar/piso-ametlla_de_merola-50082046225_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),49 m²,45 m²,,2,1,,Más de 50 años,En buen estado,4997923-1098,,,,,1ª,N/A,,Parquet,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa adosada en Gironella,HABITATPORT,2.018 €/m²,325.000 €,161 m²,https://www.pisos.com/comprar/casa_adosada-gironella_centro_urbano-48350356964_528277/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),161 m²,159 m²,275 m²,4,2,Adosada,Menos de 5 años,A estrenar,528277-B08,1,N/A,Privado,Noreste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer Font d'Olvan, 12",INMOGLOBAL BCN,1.056 €/m²,225.000 €,213 m²,https://www.pisos.com/comprar/casa-olvan_centro_urbano-50853197471_106700/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),213 m²,200 m²,142 m²,5,2,,,,IFC75924-CAS_728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Barcelona,Aliseda Inmobiliaria,881 €/m²,171.000 €,194 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-49212923412_104500/,Anuncio actualizado el 10/11/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),194 m²,,,3,2,,,,ASR1-SRB0000167466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Diseminados Masover.Rovira,INMOGLOBAL BCN,2.854 €/m²,685.000 €,240 m²,https://www.pisos.com/comprar/casa-viver_i_serrateix_centro_urbano-48408828616_106700/,Anuncio actualizado el 22/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),240 m²,240 m²,10.000 m²,4,3,,Más de 50 años,,IFC75924-CAS_681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Berga,FINQUES PUJOL,969 €/m²,126.000 €,130 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-49253945093_500010/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),130 m²,125 m²,,4,2,,Entre 10 y 20 años,En buen estado,500010-000811,,,,Sur,1ª,,,Gres,,Aluminio,,,Gas natural,N/A,N/A,N/A,,,N/A,,N/A,,N/A,,,,Más de 2,,,N/A,,,,
Piso en Berga,SAFTI ESPAÑA,1.085 €/m²,89.000 €,82 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-41691203304_100500/,Anuncio actualizado el 28/01/2025,"G, G","G, G",bergueda (BCN),82 m²,77 m²,,4,1,,Entre 30 y 50 años,,SA3541-REF_26307,,,,,4ª,,,,,,,,N/A,,,,,,,,N/A,,N/A,,,,,,,,,,,
"Casa en Carrer de la Serra Casampons, 73",INMOGLOBAL BCN,1.101 €/m²,400.000 €,363 m²,https://www.pisos.com/comprar/casa-berga_centro_urbano-47507339207_106700/,Anuncio actualizado el 15/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),363 m²,329 m²,,4,2,,,,IFC75924-CAS_432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Berga,INMOGLOBAL BCN,1.000 €/m²,85.000 €,85 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50858051718_106700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),85 m²,70 m²,,5,1,,Más de 50 años,,IFC75924-PIS_727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carretera Carretera, 24",PISOS DEL BAGES,288 €/m²,24.500 €,85 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-48393644801_101300/,Anuncio actualizado el 31/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),85 m²,80 m²,,3,1,,Más de 50 años,,API122-PIS567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Sant Josep,SAM GRUPO M,921 €/m²,70.000 €,76 m²,https://www.pisos.com/comprar/piso-olvan_centro_urbano-39242072438_100500/,Anuncio actualizado el 14/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),76 m²,65 m²,,4,1,,Más de 50 años,,SA4980-SO-64/10877,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,Entre 20 y 40 €,,,
Piso en Cercs,B.C. GESTIONS,1.101 €/m²,76.000 €,69 m²,https://www.pisos.com/comprar/piso-cercs_centro_urbano-49203647259_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),69 m²,49 m²,,2,1,,,,IFC76360-SBRE-0109394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en calle del Carme, 16",PISOS DEL BAGES,226 €/m²,23.800 €,105 m²,https://www.pisos.com/comprar/casa-berga_centro_urbano-48395645982_101300/,Anuncio actualizado el 31/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),105 m²,80 m²,,,,,Más de 50 años,,API122-CAS568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer Pere Costa,HELLOFINCA.,3.058 €/m²,260.000 €,85 m²,https://www.pisos.com/comprar/atico-berga_centro_urbano-50031738226_527713/,Anuncio actualizado el 24/01/2025,"D, E","D, E",bergueda (BCN),85 m²,85 m²,,2,1,,Entre 20 y 30 años,En buen estado,4527713-000032,1,N/A,,Sureste,3ª,N/A,,Parquet,N/A,Aluminio,N/A,,Gas natural,Independiente,Con salida a la terraa,,,,N/A,N/A,,,N/A,En el comedor,,,Más de 2,,N/A,,Entre 40 y 60 €,,,
Piso en Carrer de l'Orient,HELLOFINCA.,1.177 €/m²,106.000 €,90 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50917848474_527713/,Anuncio actualizado el 13/02/2025,"C, C","C, C",bergueda (BCN),90 m²,90 m²,,3,1,,,Reformado,4527713-PUIG REIG,,,,,1ª,N/A,N/A,Parquet,N/A,Aluminio,N/A,N/A,Eléctrica,N/A,N/A,,,N/A,N/A,N/A,,Frío y calor,,,,,Más de 2,,N/A,,,,,
