nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Garaje,Terraza,Jardín,Orientación,Planta,Exterior,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Calefacción,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Soleado,Se aceptan mascotas,Amueblado,Aire acondicionado,Balcón,Chimenea,Urbanizado,Calle alumbrada,Armarios empotrados,Agua,Puerta blindada,Ascensor,Gastos de comunidad,Piscina,Sistema de seguridad,Adaptado a personas con movilidad reducida
Chalet en Berguedá,IAD ESPAÑA,706 €/m²,212.000 €,300 m²,https://www.pisos.com/comprar/chalet-casserres_centro_urbano-48415062358_108700/,Anuncio actualizado el 07/12/2024,"E, E","E, E",bergueda (BCN),300 m²,300 m²,200 m²,5,,,Más de 50 años,,UVC882-28258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Barcelona,Aliseda Inmobiliaria,881 €/m²,171.000 €,194 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-49188277312_104500/,Anuncio actualizado el 10/11/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),194 m²,,,3,2,,,,ASR1-SRB0000195903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Cercs,SAFTI ESPAÑA,1.104 €/m²,159.000 €,144 m²,https://www.pisos.com/comprar/casa-cercs_centro_urbano-49207558220_100500/,Anuncio actualizado el 30/01/2025,"E, E","E, E",bergueda (BCN),144 m²,144 m²,,4,2,,,,SA3541-REF_31922,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer de Cal Biel,HIPOGES IBERIA,791 €/m²,380.000 €,480 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-51729106415_100700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),480 m²,480 m²,480 m²,,,,Entre 10 y 20 años,,REMO-00026,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,
Piso en Cercs,SAFTI ESPAÑA,1.276 €/m²,83.000 €,65 m²,https://www.pisos.com/comprar/piso-cercs_centro_urbano-44240256158_100500/,Anuncio actualizado el 28/01/2025,"F, E","F, E",bergueda (BCN),65 m²,65 m²,,2,1,,,,SA3541-REF_29700,,,,,1ª,,,,,,,,Eléctrica,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de l'Orient,HELLOFINCA.,1.730 €/m²,135.000 €,78 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-51667272827_527713/,Anuncio actualizado el 12/02/2025,"F, F","F, F",bergueda (BCN),78 m²,78 m²,,2,1,,Más de 50 años,En buen estado,4527713-000079,,,,Suroeste,1ª,N/A,Madera blanca,Parquet,N/A,Madera,,,Gas natural,Abierta al salon,N/A,Independiente,Independiente,,N/A,N/A,N/A,,,,,,,,N/A,,Entre 20 y 40 €,,N/A,
Piso en Carrer de Pau Casals,SAM GRUPO M,1.382 €/m²,159.000 €,115 m²,https://www.pisos.com/comprar/piso-baga_centro_urbano-39254587823_100500/,Anuncio actualizado el 14/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),115 m²,,,2,,,,,SA4980-SO-207/10877,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Puig-reig,B.C. GESTIONS,791 €/m²,380.000 €,480 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-50871504388_106700/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),480 m²,408 m²,,4,3,,,,IFC76360-REMO-00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,
Casa en Carrer de l'Harmonia,SAM GRUPO M,232 €/m²,91.000 €,391 m²,https://www.pisos.com/comprar/casa-berga_centro_urbano-39173322356_100500/,Anuncio actualizado el 10/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),391 m²,,,9,4,,,,SA4980-EXC_SO-120/10877,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Casa unifamiliar en Cercs,SAFTI ESPAÑA,1.599 €/m²,379.000 €,237 m²,https://www.pisos.com/comprar/casa_unifamiliar-cercs_centro_urbano-41697220503_100500/,Anuncio actualizado el 28/01/2025,"E, D","E, D",bergueda (BCN),237 m²,167 m²,,5,2,Unifamiliar,Entre 30 y 50 años,,SA3541-REF_26217,2,N/A,,,,,,,,,,,Gasoil,,,,,,,,,N/A,,,,,,,,,,N/A,,
Piso en Carrer de Olvan Alt,Aliseda Inmobiliaria,745 €/m²,41.000 €,55 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-50856030537_104500/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),55 m²,,,,,,,,ASR1-SRB0000285397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en La Molina,BEST HOUSE BARCELONA SANTS,690 €/m²,345.000 €,500 m²,https://www.pisos.com/comprar/casa-castellar_de_nhug_centro_urbano-17541796350_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),500 m²,500 m²,800 m²,6,4,,Más de 50 años,,SA431-658380/5661,,N/A,,,,,,,,,,,Central,,N/A,,,,,,,,,N/A,,,1,,N/A,,,,,
Piso en Carrer de Olvan Alt,ONREALE REAL ESTATE SERVICES,678 €/m²,49.500 €,73 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-51681948256_109300/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),73 m²,,,,,,Entre 10 y 20 años,,EP839-PB-ON240783,,,,,Sótano,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Finca rústica en Casserres,L@MFINQUES,19 €/m²,950.000 €,500 m²,https://www.pisos.com/comprar/finca_rustica-casserres_centro_urbano-396337159_501283/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),500 m²,500 m²,50.000 m²,7,3,,,En buen estado,501283-005938,Más de 2,,,Sur,,,,Cemento inyectado,N/A,Aluminio,,,Gasoil,N/A,N/A,,,,,,,Frío y calor,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,409 €/m²,25.000 €,61 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50079575630_100700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),61 m²,52 m²,,,,,Entre 30 y 50 años,,ALRE-06434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Olvan Alt,Aliseda Inmobiliaria,711 €/m²,42.000 €,59 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-45862332357_104500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),59 m²,,,,,,,,ASR1-SRB0000300367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa rústica en La Nou de Berguedà,Engel & Völkers MMC Barcelona,757 €/m²,720.000 €,951 m²,https://www.pisos.com/comprar/casa_rustica-la_nou_de_bergueda_centro_urbano-45894114282_101800/,Anuncio actualizado el 21/11/2024,"E, E","E, E",bergueda (BCN),951 m²,,180.000 m²,15,4,Rústica,Más de 50 años,,IF76306-I-00YHM9-W-02WEZI,1,,Privado,,,,,,,,,,Central,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Alpens,Aliseda Inmobiliaria,544 €/m²,39.200 €,72 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-41750481860_105900/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),72 m²,,,2,1,,,,AN1-ANT00030693438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle calle Pujada Castell,HIPOGES IBERIA,128 €/m²,29.000 €,225 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-48394385400_100700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),225 m²,,,,,,Más de 50 años,,LIRE-07999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,398 €/m²,23.500 €,59 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50079661342_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),59 m²,47 m²,,,,,Entre 30 y 50 años,,ALRE-06432,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Sant Salvador,HIPOGES IBERIA,287 €/m²,18.960 €,66 m²,https://www.pisos.com/comprar/casa_adosada-cercs_centro_urbano-43392387859_100700/,Anuncio actualizado el 07/08/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),66 m²,66 m²,66 m²,,,Adosada,,,SBRE-0112049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle calle Pujada Castell,HIPOGES IBERIA,408 €/m²,40.000 €,98 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-48400606644_100700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),98 m²,,,,,,,,LIRE-07998,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de la Indústria, 6",Aliseda Inmobiliaria,1.247 €/m²,131.000 €,105 m²,https://www.pisos.com/comprar/piso-avia_centro_urbano-50018229882_104500/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),105 m²,,,,,,,,ASR1-SRB0009012656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Balç,HIPOGES IBERIA,537 €/m²,28.500 €,53 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-43433080757_100700/,Anuncio actualizado el 25/09/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),53 m²,44 m²,,,,,Más de 50 años,,FRRE-00983,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle calle Pujada Castell,HIPOGES IBERIA,128 €/m²,29.000 €,225 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-48413791542_100700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),225 m²,,,,,,Entre 30 y 50 años,,LIRE-08000,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,398 €/m²,23.500 €,59 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50027946656_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),59 m²,50 m²,,,,,Entre 30 y 50 años,,ALRE-06428,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Cerç,GFA REAL ESTATE,1.239 €/m²,116.500 €,94 m²,https://www.pisos.com/comprar/piso-cercs_centro_urbano-50857062781_100500/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),94 m²,74 m²,,2,2,,Entre 10 y 20 años,,SA2160-HHYVSA216700/7379,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,
"Piso en Carrer de la Indústria, 6",Aliseda Inmobiliaria,1.797 €/m²,124.000 €,69 m²,https://www.pisos.com/comprar/piso-avia_centro_urbano-50000741606_104500/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),69 m²,,,,,,,,ASR1-SRB0009012655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,409 €/m²,25.000 €,61 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50050428759_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),61 m²,52 m²,,,,,Entre 30 y 50 años,,ALRE-06437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Pietat,HIPOGES IBERIA,351 €/m²,51.000 €,145 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-43405607162_100700/,Anuncio actualizado el 27/11/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),145 m²,145 m²,,,,,Más de 50 años,,DIRE-002373,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,413 €/m²,24.000 €,58 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50035655348_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),58 m²,49 m²,,,,,Entre 30 y 50 años,,ALRE-06433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,320 €/m²,28.500 €,89 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50035105675_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),89 m²,75 m²,,,,,Entre 30 y 50 años,,ALRE-06430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Carretera Ribes,HIPOGES IBERIA,86 €/m²,68.000 €,790 m²,https://www.pisos.com/comprar/piso-cercs_centro_urbano-47580387224_100700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),790 m²,,,,,,,,SBRE-0109394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carretera de Berga,HIPOGES IBERIA,651 €/m²,43.000 €,66 m²,https://www.pisos.com/comprar/piso-olvan_centro_urbano-48343500355_100700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),66 m²,66 m²,,,,,,,LIRE-08062,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,413 €/m²,24.000 €,58 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50080669386_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),58 m²,49 m²,,,,,Entre 30 y 50 años,,ALRE-06431,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Balç,HIPOGES IBERIA,613 €/m²,32.500 €,53 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50053551963_100700/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),53 m²,53 m²,,,,,,,FRRE-00984,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,398 €/m²,23.500 €,59 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50082010960_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),59 m²,47 m²,,,,,Entre 30 y 50 años,,ALRE-06435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de la Indústria, 6",Aliseda Inmobiliaria,1.274 €/m²,130.000 €,102 m²,https://www.pisos.com/comprar/piso-avia_centro_urbano-50087538993_104500/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),102 m²,,,,,,,,ASR1-SRB0009012657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,396 €/m²,25.000 €,63 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50079109806_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),63 m²,53 m²,,,,,Entre 30 y 50 años,,ALRE-06429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Anselm Coll,HIPOGES IBERIA,413 €/m²,24.000 €,58 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50036236696_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),58 m²,49 m²,,,,,Entre 30 y 50 años,,ALRE-06436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Roca d'en Bras,SAM GRUPO M,1.025 €/m²,79.000 €,77 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-47502423252_100500/,Anuncio actualizado el 10/09/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),77 m²,,,1,1,,Más de 50 años,,SA4980-SO-450/10877,,,,,2ª,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,N/A,,,,
Dúplex en calle Roca D´Em Bras,estudivic,992 €/m²,132.000 €,133 m²,https://www.pisos.com/comprar/duplex-prats_de_llucanes_centro_urbano-12514810082_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),133 m²,113 m²,,4,2,,Entre 10 y 20 años,En buen estado,4994602-234prats,,N/A,,,2ª,N/A,N/A,Gres,N/A,Aluminio,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,,,N/A,
Piso en Carrer de la Roca d'en Bras,estudivic,1.041 €/m²,65.600 €,63 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-12553959177_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),63 m²,53 m²,,1,1,,Entre 10 y 20 años,En buen estado,4994602-232prats,,N/A,,,1ª,N/A,N/A,Gres,N/A,Aluminio,,,,N/A,N/A,N/A,,N/A,N/A,,,,,,,,,,N/A,N/A,,,N/A,
Piso en Carrer de la Roca d'en Bras,estudivic,1.128 €/m²,79.000 €,70 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-42530896119_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),70 m²,51 m²,,1,1,,Entre 10 y 20 años,En buen estado,4994602-236prats,,N/A,,,2ª,N/A,N/A,Gres,N/A,Aluminio,,,Eléctrica,N/A,N/A,N/A,,N/A,,,,,,,,,,,N/A,N/A,,,N/A,
Casa en Santa Eulàlia de Puigoriol,IMMOSONA,1.403 €/m²,435.000 €,310 m²,https://www.pisos.com/comprar/casa-santa_eulalia_de_puigoriol-45088329357_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),310 m²,295 m²,6.700 m²,6,2,,Entre 30 y 50 años,En buen estado,2424-10031,Más de 2,N/A,Privado,,,,,Gres,N/A,Aluminio,,,Gasoil,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de la Roca d'en Bras,SAM GRUPO M,851 €/m²,65.600 €,77 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-47559424237_100500/,Anuncio actualizado el 10/09/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),77 m²,,,1,1,,Más de 50 años,,SA4980-SO-451/10877,,,,,1ª,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,N/A,,,,
Piso en Prats de Lluçanès,estudivic,1.406 €/m²,83.000 €,59 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-26733957450_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),59 m²,51 m²,,1,1,,,En buen estado,4994602-233prats,,,,A la montaña,1ª,N/A,N/A,Gres,N/A,Aluminio,,,Eléctrica,N/A,N/A,N/A,,N/A,,,,,N/A,,,,,,N/A,N/A,,,N/A,N/A
Casa en Carrer de Sant Pere,HABITATGE,624 €/m²,780.000 €,1.250 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-41712542689_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),1.250 m²,1.250 m²,,9,6,,Más de 50 años,En buen estado,1107-VC12402-13,,N/A,Privado,Sureste,,,N/A,Gres,N/A,Madera,N/A,,Gasoil,N/A,N/A,N/A,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer del Mossèn Josep Valls,GESTIONS TONI OLIVER,1.662 €/m²,133.000 €,80 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-50016459011_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),80 m²,,,3,1,,,En buen estado,SA2723-106799853,,,,Norte,2ª,N/A,,,,,,,,,,,,,,,,N/A,N/A,,,,1,,,N/A,Entre 40 y 60 €,,,
Casa en Carrer de Sant Pere,HABITATGE,580 €/m²,290.000 €,500 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-41750107682_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),500 m²,490 m²,,4,2,,Más de 50 años,En buen estado,1107-VC12402-15,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
