nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Carpintería exterior,Vidrios dobles,Tipo suelo,Aire acondicionado,Calefacción,Chimenea,Garaje,Jardín,Orientación,Terraza,Planta,Exterior,Balcón,Soleado,Superficie solar,Urbanizado,Calle alumbrada,Calle asfaltada,Armarios empotrados,Tipo de casa,Carpintería interior,Cocina equipada,Comedor,Lavadero,Amueblado,Teléfono,Puerta blindada,Piscina,Se aceptan mascotas,Portero automático,Sistema de seguridad,Ascensor,Gas,Trastero,Adaptado a personas con movilidad reducida,Gastos de comunidad
Casa en calle Nou de Santa Creu,FINQUES LLUÇANES,622 €/m²,190.000 €,305 m²,https://www.pisos.com/comprar/casa-santa_creu_de_jutglar08515-44221800945_513880/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),305 m²,150 m²,3,1,Más de 50 años,En buen estado,513880-88,Madera,N/A,Gres,Frío,Gasoil,N/A,1,Privado,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer Major,FINQUES LLUÇANES,1.190 €/m²,250.000 €,210 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-50096036354_513880/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),210 m²,210 m²,5,1,Más de 50 años,En buen estado,513880-001069,Madera,,Gres,,,N/A,1,Privado,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de Vic, 15",FINQUES LLUÇANES,238 €/m²,138.500 €,580 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-91714845938_513880/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),580 m²,580 m²,4,2,Entre 20 y 30 años,A reformar,513880-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Orient,FINQUES LLUÇANES,894 €/m²,85.000 €,95 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-46684824079_513880/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),95 m²,90 m²,4,2,Entre 30 y 50 años,En buen estado,513880-0083,Madera,N/A,Gres,,Gas natural,,1,,Norte,,2ª,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en Lluçanès,RUSTIC CORNER,965 €/m²,450.000 €,466 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-44262957101_148700/,Anuncio actualizado el 19/02/2025,"D, D","D, D",llucanes (BCN),466 m²,466 m²,8,4,Más de 50 años,En buen estado,1487-003006,Madera,N/A,,,Gasoil,N/A,2,Privado,,N/A,,,,,1.626 m²,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
"Casa en Carrer Major, 13",FINQUES LLUÇANES,177 €/m²,165.000 €,931 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-100078273114_513880/,Anuncio actualizado el 16/12/2024,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),931 m²,930 m²,10,2,Entre 30 y 50 años,A reformar,513880-000832,Madera,,Gres,,Gasoil,N/A,,,Este,N/A,,,,,,N/A,,,Más de 2,,,,,,,,,,,,,,,,,
Casa en Carrer de Ripoll,FINQUES LLUÇANES,655 €/m²,190.000 €,290 m²,https://www.pisos.com/comprar/casa-olost_centro_urbano08516-43422759423_513880/,Anuncio actualizado el 15/02/2025,"E, E","E, E",llucanes (BCN),290 m²,290 m²,6,3,Más de 50 años,A reformar,513880-68,Madera,,Gres,,Gasoil,N/A,1,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Plaça de Catalunya,FINQUES LLUÇANES,1.134 €/m²,185.000 €,163 m²,https://www.pisos.com/comprar/casa_pareada-prats_de_llucanes_centro_urbano-50849868737_513880/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),163 m²,163 m²,4,2,Entre 30 y 50 años,En buen estado,513880-  0000,Madera,,Gres,,Gasoil,,1,Privado,,N/A,,,,,,,,,,Pareada,,,,,,,,,,,,,,,,
Casa en Olost,Finques La Vall,1.627 €/m²,275.000 €,169 m²,https://www.pisos.com/comprar/casa-olost_centro_urbano-32597781937_253600/,Anuncio actualizado el 20/02/2025,"G, G","G, G",llucanes (BCN),169 m²,152 m²,3,1,Entre 30 y 50 años,En buen estado,2536-080154,Madera,N/A,Gres,,,,,Privado,,,,,,,239 m²,N/A,N/A,N/A,,,Cirerer,Office de 11 m²,18 m²,5 m²,,,,,,,,,,,,
Casa en Carrer de Sant Pere,HABITATGE,580 €/m²,290.000 €,500 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-41750107682_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),500 m²,490 m²,4,2,Más de 50 años,En buen estado,1107-VC12402-15,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,IMMOACASA.CAT,2.118 €/m²,440.650 €,208 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-37569317302_501452/,Anuncio actualizado el 03/02/2025,"F, G","F, G",llucanes (BCN),208 m²,99 m²,3,2,Entre 20 y 30 años,En buen estado,501452-01796,PVC,N/A,Gres,Frío y calor,Gasoil,,Más de 2,Privado,3.010,N/A,,,,,683 m²,N/A,N/A,N/A,Más de 2,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Propia,N/A,,,,,,,
Casa en Carrer Osona,HABITATGE,1.576 €/m²,350.000 €,222 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-40925765809_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),222 m²,222 m²,4,2,Entre 20 y 30 años,En buen estado,1107-VC12401-16,Madera,N/A,Gres,,Gasoil,N/A,1,Privado,Sureste,,,,,,,,,,Más de 2,,,N/A,N/A,,,,N/A,,,,,,,,,
Piso en Carrer de la Roca d'en Bras,estudivic,1.128 €/m²,79.000 €,70 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-42530896119_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),70 m²,51 m²,1,1,Entre 10 y 20 años,En buen estado,4994602-236prats,Aluminio,N/A,Gres,,Eléctrica,,,,,N/A,2ª,N/A,,,,,,,,,N/A,N/A,N/A,N/A,,,N/A,,,N/A,N/A,N/A,,,,
Casa en Carrer de Sant Pere,HABITATGE,624 €/m²,780.000 €,1.250 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-41712542689_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),1.250 m²,1.250 m²,9,6,Más de 50 años,En buen estado,1107-VC12402-13,Madera,N/A,Gres,,Gasoil,N/A,,Privado,Sureste,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,,
Piso en Carrer de la Roca d'en Bras,SAM GRUPO M,1.025 €/m²,79.000 €,77 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-47502423252_100500/,Anuncio actualizado el 10/09/2024,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),77 m²,,1,1,Más de 50 años,,SA4980-SO-450/10877,,,,,N/A,,,,,,2ª,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,
Dúplex en calle Roca D´Em Bras,estudivic,992 €/m²,132.000 €,133 m²,https://www.pisos.com/comprar/duplex-prats_de_llucanes_centro_urbano-12514810082_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),133 m²,113 m²,4,2,Entre 10 y 20 años,En buen estado,4994602-234prats,Aluminio,N/A,Gres,,,,,,,N/A,2ª,N/A,,N/A,,,,,,,N/A,N/A,N/A,N/A,,,N/A,,,N/A,N/A,N/A,,N/A,,
Chalet en Olost,Casabona Finques,1.527 €/m²,275.000 €,180 m²,https://www.pisos.com/comprar/chalet-olost_centro_urbano08516-38390270983_100500/,Anuncio actualizado el 06/01/2025,"G, G","G, G",llucanes (BCN),180 m²,170 m²,3,2,Entre 30 y 50 años,En buen estado,SA1962-1008,,,,,Gasoil,N/A,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Chalet en Olost,Casabona Finques,2.025 €/m²,790.000 €,390 m²,https://www.pisos.com/comprar/chalet-olost_centro_urbano08516-47593232773_100500/,Anuncio actualizado el 07/01/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),390 m²,370 m²,6,3,Entre 20 y 30 años,En buen estado,SA1962-1052,,,,,,N/A,,Privado,,N/A,,,,,900 m²,,,,1,,,,,N/A,,,,Propia,,,,,,,,
Casa en Oristà,IMMOSONA,733 €/m²,132.000 €,180 m²,https://www.pisos.com/comprar/casa-orista_centro_urbano-34178928798_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),180 m²,175 m²,,,Entre 20 y 30 años,A reformar,2424-10026,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,N/A,,,,,,,
Piso en Prats de Lluçanès,estudivic,1.406 €/m²,83.000 €,59 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-26733957450_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),59 m²,51 m²,1,1,,En buen estado,4994602-233prats,Aluminio,N/A,Gres,,Eléctrica,,,,A la montaña,,1ª,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,,,N/A,,,N/A,N/A,N/A,,,N/A,
Piso en Carrer de la Roca d'en Bras,estudivic,1.041 €/m²,65.600 €,63 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-12553959177_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),63 m²,53 m²,1,1,Entre 10 y 20 años,En buen estado,4994602-232prats,Aluminio,N/A,Gres,,,,,,,N/A,1ª,N/A,,N/A,,,,,,,N/A,N/A,N/A,N/A,,,N/A,,,N/A,N/A,N/A,,,,
Piso en Carrer de la Roca d'en Bras,SAM GRUPO M,851 €/m²,65.600 €,77 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-47559424237_100500/,Anuncio actualizado el 10/09/2024,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),77 m²,,1,1,Más de 50 años,,SA4980-SO-451/10877,,,,,N/A,,,,,,1ª,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,
Piso en Carrer del Mossèn Josep Valls,GESTIONS TONI OLIVER,1.662 €/m²,133.000 €,80 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-50016459011_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),80 m²,,3,1,,En buen estado,SA2723-106799853,,,,N/A,,,,,Norte,,2ª,N/A,N/A,,,,,,1,,,,,,,,,,,,,N/A,,,,Entre 40 y 60 €
Casa en Santa Eulàlia de Puigoriol,IMMOSONA,1.403 €/m²,435.000 €,310 m²,https://www.pisos.com/comprar/casa-santa_eulalia_de_puigoriol-45088329357_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),310 m²,295 m²,6,2,Entre 30 y 50 años,En buen estado,2424-10031,Aluminio,N/A,Gres,,Gasoil,N/A,Más de 2,Privado,,N/A,,,,,6.700 m²,,,,,,,,,,,,,,,,,,,,,
Casa en Oristà,IMMOSONA,835 €/m²,142.000 €,170 m²,https://www.pisos.com/comprar/casa-orista_centro_urbano-34167145677_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),170 m²,160 m²,,1,Entre 20 y 30 años,A reformar,2424-10039,,N/A,Gres,,,,,,,N/A,,,,,,N/A,N/A,N/A,,,,,,,,,,,N/A,,,,,,,
Piso en Prats de Lluçanès,estudivic,940 €/m²,79.000 €,84 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-36757470066_994602/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),84 m²,83 m²,4,2,Entre 30 y 50 años,A reformar,4994602-318prats,Madera,,Terrazo,,,,,,,N/A,3ª,N/A,,N/A,,,,,1,,,N/A,N/A,N/A,,,N/A,,,N/A,N/A,N/A,,,,
Piso en Olost,estudivic,1.462 €/m²,155.000 €,106 m²,https://www.pisos.com/comprar/piso-olost_centro_urbano-36698394359_994602/,Anuncio actualizado el 15/02/2025,"E, D","E, D",llucanes (BCN),106 m²,76 m²,2,2,Entre 10 y 20 años,En buen estado,4994602-148olost,Aluminio,N/A,Parquet,,Suelo radiante,,1,,,N/A,Bajo,N/A,,,,,,,2,,N/A,N/A,N/A,N/A,,,N/A,,,N/A,N/A,N/A,,,,
Casa en Olost,SERVEIS IMMOBILIARIS MIREIA BRUN,1.617 €/m²,275.000 €,170 m²,https://www.pisos.com/comprar/casa-olost_centro_urbano08516-25857530313_101300/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),170 m²,169 m²,3,2,Entre 30 y 50 años,En buen estado,API94-100427,,,,,N/A,,,,4 vientos,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de l'Orient, 6",FINQUES BACH -Assessors Immobiliaris-,988 €/m²,353.929 €,358 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-50902610239_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),358 m²,358 m²,,,,En buen estado,2134-3596_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Perafita,2005 IMMO JORCAN,2.118 €/m²,440.650 €,208 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-50020288224_101300/,Anuncio actualizado el 20/02/2025,"F, G","F, G",llucanes (BCN),208 m²,199 m²,3,2,Entre 20 y 30 años,,API158-01796,,,,,N/A,,,,4 vientos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Perafita,FINQUES KM ZERO,2.118 €/m²,440.650 €,208 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-40037625179_101300/,Anuncio actualizado el 19/12/2024,"F, G","F, G",llucanes (BCN),208 m²,199 m²,3,2,Entre 20 y 30 años,,API266-01796,,,,,N/A,,,,4 vientos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avenida Masia Puig Dels Eixuts,Aliseda Inmobiliaria,702 €/m²,298.000 €,424 m²,https://www.pisos.com/comprar/casa_adosada-lluca_centro_urbano-41685624444_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),424 m²,,3,2,,,AN1-ANT00030655686,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,,,,,,,,,,
Casa en Carrer Sant Pere Almató,Engel & Völkers MMC Barcelona,457 €/m²,295.000 €,645 m²,https://www.pisos.com/comprar/casa-sant_feliu_sasserra_centro_urbano-26715447512_101800/,Anuncio actualizado el 16/10/2024,"F, E","F, E",llucanes (BCN),645 m²,,10,4,Más de 50 años,,IF76306-I-00W25U-W-02ODXG,,,,,,,,Privado,,N/A,,,,,259 m²,,,,,,,,,,,,,,,,,,,,,
Casa en calle St Pere Almató,FINQUES LLUÇANES,771 €/m²,270.000 €,350 m²,https://www.pisos.com/comprar/casa-sant_feliu_sasserra_centro_urbano-16709407910_513880/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),350 m²,350 m²,9,3,Más de 50 años,Reformado,513880-14,Madera,N/A,Gres,,Eléctrica,,1,,Este,N/A,,,,,,,,,1,,,,,,N/A,,,,,,,,,,,
Casa en Sant Feliu Sasserra,estudivic,600 €/m²,180.000 €,300 m²,https://www.pisos.com/comprar/casa-sant_feliu_sasserra_centro_urbano-1726198194_994602/,Anuncio actualizado el 15/02/2025,"E, D","E, D",llucanes (BCN),300 m²,172 m²,5,2,Más de 50 años,En buen estado,4994602-1329SFS,,,,,Eléctrica,N/A,Más de 2,,,N/A,,,,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,
Chalet unifamiliar en Camí Vilar,MS INMOBILIARIA,2.101 €/m²,330.000 €,157 m²,https://www.pisos.com/comprar/chalet_unifamiliar-sant_boi_de_llucanes_centro_urbano-49250472388_525886/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),157 m²,128 m²,3,2,Menos de 5 años,A estrenar,525886-000044,Aluminio,N/A,Gres,,Aerotèrmia,,2,Privado,,,,,,,831 m²,,,,,,,N/A,N/A,N/A,,,,,N/A,,,,,,,
"Casa en Carrer Font d'Olvan, 12",INMOGLOBAL BCN,1.056 €/m²,225.000 €,213 m²,https://www.pisos.com/comprar/casa-olvan_centro_urbano-50853197471_106700/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),213 m²,200 m²,5,2,,,IFC75924-CAS_728,,,,,,,,,,,,,,,142 m²,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Esglèsia,MS INMOBILIARIA,1.353 €/m²,475.000 €,351 m²,https://www.pisos.com/comprar/chalet-sora_centro_urbano-35022876544_525886/,Anuncio actualizado el 20/09/2024,"D, E","D, E",llucanes (BCN),351 m²,254 m²,4,3,Entre 10 y 20 años,En buen estado,525886-000002,Madera,N/A,Terrazo y parquet,,Gasoil,N/A,2,Privado,A la montaña,N/A,,,,,630 m²,N/A,,,Más de 2,,,N/A,N/A,N/A,N/A,,N/A,,N/A,,,,,,N/A,
