nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Aire acondicionado,Calefacción,Puerta blindada,Ascensor,Terraza,Orientación,Exterior,Conservación,Garaje,Trastero,Lavadero,Carpintería interior,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Cocina equipada,Comedor,Portero automático,Adaptado a personas con movilidad reducida,Soleado,Se aceptan mascotas,Sistema de seguridad,Balcón,Piscina,Jardín,Tipo de casa
Piso en Carrer de Ramon Llull,SQM Real Estate,3.387 €/m²,315.000 €,93 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48335469717_100500/,Anuncio actualizado el 04/12/2024,"D, D","D, D",sant_adria_de_besos (BCN),93 m²,68 m²,3,2,3ª,Menos de 5 años,,SA5320-106393467,,1,,,N/A,Central,,N/A,,Sur,N/A,En buen estado,1,N/A,,,,,,,,,,,,,,N/A,,,
Piso en Carrer de l'Església,"Punt Sagrada Família, S.L.",3.646 €/m²,649.000 €,178 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50047842143_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),178 m²,133 m²,3,2,,Entre 30 y 50 años,,BLU5-LCB31851,,,,,,,,N/A,N/A,,,En buen estado,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,2.962 €/m²,320.000 €,108 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-38333898714_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),108 m²,,3,2,3ª,Entre 20 y 30 años,,IF76306-I-00XLNS-W-02TJ1X,,1,,,,Central,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,3.992 €/m²,515.000 €,129 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-37543354250_101800/,Anuncio actualizado el 21/05/2024,"B, B","B, B",sant_adria_de_besos (BCN),129 m²,,3,2,,Entre 5 y 10 años,,IF76306-I-00XFYB-W-02T80J,,1,,,,,,N/A,N/A,,,,1,,N/A,,,,,,N/A,,,,,,,,Propia,,
Piso en calle Jardí del Pessebre Vivent,"Punt Sagrada Família, S.L.",5.555 €/m²,700.000 €,126 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49180089218_103700/,Anuncio actualizado el 17/02/2025,"B, B","B, B",sant_adria_de_besos (BCN),126 m²,100 m²,2,2,,Entre 10 y 20 años,,BLU5-LCB33581,,,,,,N/A,,N/A,N/A,,N/A,A estrenar,N/A,N/A,,,,,,,,,,,,N/A,,N/A,N/A,N/A,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,3.990 €/m²,415.000 €,104 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-49212668931_101800/,Anuncio actualizado el 16/12/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),104 m²,,4,2,4ª,Entre 20 y 30 años,,IF76306-I-00YU6C-W-02VQU6,,1,,,,Central,,N/A,N/A,,,,1,N/A,,,,,,,N/A,,,,,,,,Propia,,
"Piso en Avinguda de les Corts Catalanes, 18",Aliseda Inmobiliaria,2.203 €/m²,141.000 €,64 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-43433038919_105900/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),64 m²,,3,1,,,,AN1-ANT00030670968,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Ático en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,4.722 €/m²,510.000 €,108 m²,https://www.pisos.com/comprar/atico-sant_adria_de_besos_centro_urbano-34254209368_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),108 m²,,2,2,11ª,Entre 10 y 20 años,,IF76306-I-00WZQ6-W-02S45Z,,,,,,Central,,N/A,N/A,Norte,,,1,,,,,,,,N/A,,,,,,,,Propia,Privado,
Piso en La Catalana,MACROFINCAS S.L,4.941 €/m²,276.750 €,56 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49250061230_100500/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),56 m²,47 m²,1,1,Bajo,Entre 10 y 20 años,Entre 40 y 60 €,SA565-MCB6029MV/1454,,1,,N/A,N/A,Central,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,,,
Casa unifamiliar en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,1.174 €/m²,328.800 €,280 m²,https://www.pisos.com/comprar/casa_unifamiliar-sant_adria_de_besos_centro_urbano-45067321611_100200/,Anuncio actualizado el 12/06/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),280 m²,,4,,,,,TC412-585139,,,,,N/A,,,,,,,A reformar,,,,,,,,,,,,,,,,,,,Unifamiliar
Piso en Besòs Mar,Comprarcasa GAND HOUSE,4.555 €/m²,410.000 €,90 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48367681474_100500/,Anuncio actualizado el 19/02/2025,"C, C","C, C",sant_adria_de_besos (BCN),90 m²,63 m²,2,2,1ª,Entre 10 y 20 años,,SA342-ghJV0209/741,,,Parquet,,,,,N/A,,,,,,,,,,,,,,,,,,,,N/A,,,
Piso en Sant Adrià de Besòs,"PROJECTE FORUM DIAGONAL MAR, S.L.",2.316 €/m²,157.500 €,68 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50894706788_100200/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),68 m²,,,,,Entre 30 y 50 años,,TC313-606166,,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Av Corts Catalanes,ASA Habitatges,2.357 €/m²,165.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-51711851480_103800/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),70 m²,,3,1,5ª,,,INB124-VV0325,,,Gres,N/A,,,,N/A,,Sur,N/A,Reformado,,,,,,,,,N/A,,,,,,,N/A,,,
Ático en Sant Adrià,LA CASA AGENCY ECV,3.778 €/m²,393.000 €,104 m²,https://www.pisos.com/comprar/atico-sant_adria_de_besos_centro_urbano-50072493238_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",sant_adria_de_besos (BCN),104 m²,86 m²,3,2,,Entre 10 y 20 años,,BLU3-LCB32521,,,,,,N/A,,N/A,N/A,,N/A,En buen estado,,,,,,,,,,,,,,N/A,,,,,
"Piso en Carrer de Venus, 11",Aliseda Inmobiliaria,1.583 €/m²,152.000 €,96 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49180629925_105900/,Anuncio actualizado el 21/12/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),96 m²,,2,1,,,,AN1-ANT00030670962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de València,Aliseda Inmobiliaria,2.025 €/m²,121.500 €,60 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-41709082083_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),60 m²,,3,1,,,,AN1-ANT00030670942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,4.879 €/m²,649.000 €,133 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-48347323665_101800/,Anuncio actualizado el 11/12/2024,"E, D","E, D",sant_adria_de_besos (BCN),133 m²,,3,2,1ª,Entre 30 y 50 años,,IF76306-I-00YQWU-W-02VXPM,,1,,,,Central,,N/A,N/A,,,,1,,,,,,,,,,,,,,,,Propia,,
Dúplex en Carrer de Mercè Rodoreda,FABRA CONSULTORS,3.778 €/m²,393.000 €,104 m²,https://www.pisos.com/comprar/duplex-sant_adria_de_besos_centro_urbano-49240856958_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),104 m²,86 m²,2,2,4ª,Entre 20 y 30 años,,SA4270-2024-0075/9908,,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,Comunitaria,,
"Piso en Avinguda de les Corts Catalanes, 551",Aliseda Inmobiliaria,2.409 €/m²,238.500 €,99 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49237847311_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),99 m²,,4,2,,,,AN1-ANT00030670925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda de les Corts Catalanes, 16",Aliseda Inmobiliaria,2.390 €/m²,153.000 €,64 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-47506114843_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),64 m²,,3,,,,,AN1-ANT00030670935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mossèn Josep Pons,LA CASA AGENCY CASTELLDEFELS,2.604 €/m²,375.000 €,144 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-51670744022_103700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),144 m²,104 m²,3,2,,Entre 20 y 30 años,,BLU1-LCB35116,,,,,,N/A,,N/A,N/A,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mar,SQM Real Estate,2.382 €/m²,162.000 €,68 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-51751683807_100500/,Anuncio actualizado el 11/02/2025,"F, F","F, F",sant_adria_de_besos (BCN),68 m²,62 m²,4,1,5ª,Más de 50 años,,SA5320-107299098,,1,,,,,,N/A,,Sur,N/A,A reformar,,,,,,,,,,,,,,,,N/A,,,
Piso en Barcelonès,BEST HOUSE BARCELONA SANTS,1.845 €/m²,155.000 €,84 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-5058625246_100500/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),84 m²,84 m²,3,1,Bajo,Más de 50 años,,SA431-615854/5661,,,,,,,N/A,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Diagonal Mar,BEST HOUSE BARCELONA SANTS,2.036 €/m²,112.000 €,55 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-8333653168_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),55 m²,55 m²,2,1,Bajo,Más de 50 años,,SA431-630086/5661,,,,,,Central,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Centro,ASA Habitatges,3.294 €/m²,280.000 €,85 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-45851793272_103800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),85 m²,76 m²,4,1,Bajo,,,INB124-VV0624,,,Gres,N/A,,Gas natural,,N/A,,Sur,N/A,Reformado,,,,,,,,,N/A,,,,,,,N/A,,,
Piso en Carrer de Mart,HIPOGES IBERIA,1.291 €/m²,94.300 €,73 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48390797784_100700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),73 m²,73 m²,,,1ª,,,LIRE-03318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Eduard Maristany,INMOTARGET,4.555 €/m²,410.000 €,90 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49233772863_108900/,Anuncio actualizado el 14/02/2025,"C, C","C, C",sant_adria_de_besos (BCN),90 m²,63 m²,2,2,1ª,Entre 10 y 20 años,,XA757-cit_a6189_1,,N/A,N/A,,N/A,Bomba de calor,,N/A,,,N/A,En buen estado,,,,,,N/A,,,Independiente,,,,,,,,,,
Casa en Sant Joan Baptista,ASA Habitatges,2.317 €/m²,299.000 €,129 m²,https://www.pisos.com/comprar/casa-sant_adria_de_besos_centro_urbano-50846315605_103800/,Anuncio actualizado el 12/02/2025,"F, E","F, E",sant_adria_de_besos (BCN),129 m²,,3,1,,,,INB124-VV0125,N/A,2,Gres,N/A,Frío y calor,,,,N/A,Sur,,En buen estado,,N/A,,,,,,,N/A,,,,,,,,,N/A,
Piso en Besòs Mar,BEST HOUSE BARCELONA SANTS,2.327 €/m²,135.000 €,58 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-27595632007_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),58 m²,56 m²,2,1,Bajo,Más de 50 años,,SA431-700652/5661,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Eduard Maristany,INMOTARGET,4.555 €/m²,410.000 €,90 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48375019065_108900/,Anuncio actualizado el 14/02/2025,"C, C","C, C",sant_adria_de_besos (BCN),90 m²,63 m²,2,2,1ª,Entre 10 y 20 años,,XA757-cit_a6189,,N/A,,,N/A,Bomba de calor,,N/A,,,N/A,En buen estado,,,,,,,,,Independiente,,,,,,,,,,
Dúplex en Sant Adrià de Besòs,CEDOS,2.608 €/m²,600.000 €,230 m²,https://www.pisos.com/comprar/duplex-sant_adria_de_besos_centro_urbano-41682555360_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),230 m²,185 m²,5,3,4ª,Entre 30 y 50 años,,3704-006009,,Más de 2,Mármol,,Frío y calor,Gas natural,,N/A,N/A,,N/A,En buen estado,,,N/A,Madera lacada,N/A,Aluminio,N/A,,Office,Balcón,,,N/A,,,N/A,,,
Piso en Sant Adrià de Besòs,LA CASA AGENCY DEUSTO,3.904 €/m²,695.000 €,178 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-47580451099_101800/,Anuncio actualizado el 19/09/2024,"E, E","E, E",sant_adria_de_besos (BCN),178 m²,,3,2,1ª,Entre 30 y 50 años,,IF77097-LCB31851,,,,,,,,N/A,N/A,,,,1,,,,,,,,,,,,,,,,Propia,,
Apartamento en Besos  Zona de - Sant Adrià de Besòs,BEST HOUSE BARCELONA SANTS,3.625 €/m²,145.000 €,40 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-16693796850_100500/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),40 m²,40 m²,2,1,Bajo,Entre 10 y 20 años,,SA431-663458/5661,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,
"Piso en Carrer de València, 40",Aliseda Inmobiliaria,2.014 €/m²,139.000 €,69 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48421352791_105900/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),69 m²,,,,,,,AN1-ANT00030670974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Mercè Rodoreda,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",3.778 €/m²,393.000 €,104 m²,https://www.pisos.com/comprar/piso-el_besos_el_maresme08930-47593019832_525021/,Anuncio actualizado el 20/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),104 m²,86 m²,3,2,4ª,Entre 10 y 20 años,,"4525021-LCB32521 Diagonal Mar Real Estate, S.L",,Más de 2,Parquet,,Frío y calor,Central,,N/A,N/A,Oeste,N/A,En buen estado,,,,,,Aluminio,,,Independiente,,,,,N/A,,,,,
Piso en calle Jerez de La Frontera,VIVANTIAL,1.067 €/m²,79.000 €,74 m²,https://www.pisos.com/comprar/piso-badalona-42520019526_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),74 m²,74 m²,,,6ª,,,EP618-11930-2025,,,,,,,,N/A,N/A,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en calle Covadonga,VIVANTIAL,1.065 €/m²,65.000 €,61 m²,https://www.pisos.com/comprar/piso-badalona-45904296218_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),61 m²,61 m²,,,1ª,,,EP618-14156-2025,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en calle Santa Joana de Lestonnac,VIVANTIAL,644 €/m²,38.000 €,59 m²,https://www.pisos.com/comprar/piso-badalona-45841259838_109300/,Anuncio actualizado el 05/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),59 m²,59 m²,,,2ª,,,EP618-13963-2025,,,,,,,,,,,,A reformar,,,,,,,,,,,N/A,,,,,,,,
Piso en calle Cordova,VIVANTIAL,650 €/m²,41.000 €,63 m²,https://www.pisos.com/comprar/piso-badalona-51750265985_109300/,Anuncio actualizado el 06/02/2025,"G, G","G, G",sant_adria_de_besos (BCN),63 m²,63 m²,,,1ª,,,EP618-13955-2025,,,,,,,,,,,,A reformar,,,,,,,,,,,N/A,,,,,,,,
Piso en calle Santa Joana Lestonnac,VIVANTIAL,593 €/m²,38.000 €,64 m²,https://www.pisos.com/comprar/piso-badalona-33376740365_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),64 m²,64 m²,,,5ª,,,EP618-6067-2025,,,,,,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer de Catània,Aliseda Inmobiliaria,1.860 €/m²,102.350 €,55 m²,https://www.pisos.com/comprar/piso-el_besos_el_maresme08930-37518187960_107000/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),55 m²,,3,1,,,,AS1-52695245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Catània,Aliseda Inmobiliaria,1.540 €/m²,83.200 €,54 m²,https://www.pisos.com/comprar/piso-el_besos_el_maresme08930-41721464804_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),54 m²,,2,1,,,,AN1-ANT00030680916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Príncep d'Astúries,PARELLADA IMMOBILIÀRIA,2.551 €/m²,298.500 €,117 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08918-48407307668_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),117 m²,109 m²,4,2,Bajo,Entre 20 y 30 años,,SA5410-2701/11637,,,Parquet,,N/A,N/A,,N/A,N/A,,,,,,,,,,,,,N/A,,,,,,N/A,,,
Piso en Carrer del Príncep d'Astúries,FINQUES ENRIC,2.487 €/m²,298.500 €,120 m²,https://www.pisos.com/comprar/piso-sant_roc-50859881226_100500/,Anuncio actualizado el 04/02/2025,"F, F","F, F",sant_adria_de_besos (BCN),120 m²,117 m²,4,2,,Entre 20 y 30 años,,SA5788-6129,,,,,,,,N/A,N/A,Sur,N/A,En buen estado,,,,,,,,,,,,,,,,,,,
